"","sp","lon","lat","grupo"
"137","Ceratophrys aurita",-48.680421,-26.080479,"amphibians"
"138","Ceratophrys aurita",-39.870341,-19.450478,"amphibians"
"139","Ceratophrys aurita",-40.070342,-19.380478,"amphibians"
"140","Ceratophrys aurita",-39.80034,-19.290478,"amphibians"
"141","Ceratophrys aurita",-39.380334,-17.870472,"amphibians"
"142","Ceratophrys aurita",-44.080371,-19.51047,"amphibians"
"143","Ceratophrys aurita",-47.140404,-24.090478,"amphibians"
"144","Ceratophrys aurita",-39.290331,-16.480466,"amphibians"
"145","Ceratophrys aurita",-43.200373,-22.930484,"amphibians"
"146","Ceratophrys aurita",-43.450356,-14.190449,"amphibians"
"147","Ceratophrys aurita",-38.60032,-12.680448,"amphibians"
"148","Ceratophrys aurita",-46.720401,-23.820479,"amphibians"
"149","Ceratophrys aurita",-46.6904,-23.710478,"amphibians"
"150","Ceratophrys aurita",-43.020371,-22.450483,"amphibians"
"151","Ceratophrys aurita",-49.130424,-25.950477,"amphibians"
"152","Ceratophrys aurita",-44.860386,-23.300482,"amphibians"
"153","Dendrophryniscus brevipollicatus",-44.2461,-23.144984,"amphibians"
"154","Dendrophryniscus brevipollicatus",-44.3233,-22.6836,"amphibians"
"155","Dendrophryniscus brevipollicatus",-46.142063,-23.748258,"amphibians"
"156","Dendrophryniscus brevipollicatus",-47.919722,-25.010278,"amphibians"
"157","Dendrophryniscus brevipollicatus",-47.9667,-25.1333,"amphibians"
"158","Dendrophryniscus brevipollicatus",-48.34,-24,"amphibians"
"159","Dendrophryniscus brevipollicatus",-47.0117,-23.7302,"amphibians"
"160","Dendrophryniscus brevipollicatus",-44.96,-23.07,"amphibians"
"161","Dendrophryniscus brevipollicatus",-43.6058,-22.4889,"amphibians"
"162","Dendrophryniscus brevipollicatus",-47.55,-24.7,"amphibians"
"163","Dendrophryniscus brevipollicatus",-44.489606,-22.441047,"amphibians"
"164","Dendrophryniscus brevipollicatus",-44.585517,-22.437628,"amphibians"
"165","Dendrophryniscus brevipollicatus",-43.985118,-23.067013,"amphibians"
"166","Dendrophryniscus brevipollicatus",-45.44,-23.37,"amphibians"
"167","Dendrophryniscus brevipollicatus",-43.450833,-22.759444,"amphibians"
"168","Dendrophryniscus brevipollicatus",-43.42,-22.58,"amphibians"
"169","Dendrophryniscus brevipollicatus",-44.677904,-23.018135,"amphibians"
"170","Dendrophryniscus brevipollicatus",-44.707461,-23.146695,"amphibians"
"171","Dendrophryniscus brevipollicatus",-47.88,-24.71,"amphibians"
"172","Dendrophryniscus brevipollicatus",-46.9999,-24.2999,"amphibians"
"173","Dendrophryniscus brevipollicatus",-43.157541,-22.398358,"amphibians"
"174","Dendrophryniscus brevipollicatus",-47.71,-23.81,"amphibians"
"175","Dendrophryniscus brevipollicatus",-43.2333,-22.95,"amphibians"
"176","Dendrophryniscus brevipollicatus",-43.271044,-22.949395,"amphibians"
"177","Dendrophryniscus brevipollicatus",-43.2075,-22.903056,"amphibians"
"178","Dendrophryniscus brevipollicatus",-46.3044,-23.7781,"amphibians"
"179","Dendrophryniscus brevipollicatus",-46.5383,-23.6639,"amphibians"
"180","Dendrophryniscus brevipollicatus",-46.529722,-23.66,"amphibians"
"181","Dendrophryniscus brevipollicatus",-46.33,-23.96,"amphibians"
